"ID","Npixel","Tank","Site.name","Rack.pos"
"Chicken_1121",1815,"Tank 10","Chicken","1121"
"Chicken_1122",4027,"Tank 10","Chicken","1122"
"Chicken_1123",3417,"Tank 10","Chicken","1123"
"Chicken_1124",2685,"Tank 10","Chicken","1124"
"Chicken_2180",2761,"Tank 10","Chicken","2180"
"Chicken_2181",3226,"Tank 10","Chicken","2181"
"Chicken_2182",7024,"Tank 10","Chicken","2182"
"Chicken_2183",2576,"Tank 10","Chicken","2183"
"Chicken_2204",2579,"Tank 10","Chicken","2204"
"Chicken_2205",5370,"Tank 10","Chicken","2205"
"Chicken_2206",2966,"Tank 10","Chicken","2206"
"Chicken_2207",1948,"Tank 10","Chicken","2207"
"Chicken_2236",2737,"Tank 10","Chicken","2236"
"Chicken_2237",3901,"Tank 10","Chicken","2237"
"Chicken_2238",4055,"Tank 10","Chicken","2238"
"Chicken_2239",1985,"Tank 10","Chicken","2239"
"Chicken_2244",2532,"Tank 10","Chicken","2244"
"Chicken_2245",5984,"Tank 10","Chicken","2245"
"Chicken_2246",3537,"Tank 10","Chicken","2246"
"Chicken_2247",2311,"Tank 10","Chicken","2247"
"Chicken_2248",4733,"Tank 10","Chicken","2248"
"Chicken_2249",3186,"Tank 10","Chicken","2249"
"Chicken_2250",2339,"Tank 10","Chicken","2250"
"Chicken_2251",3389,"Tank 10","Chicken","2251"
"Chicken_2256",5362,"Tank 10","Chicken","2256"
"Chicken_2257",3094,"Tank 10","Chicken","2257"
"Chicken_2258",3843,"Tank 10","Chicken","2258"
"Chicken_2259",3470,"Tank 10","Chicken","2259"
"Chicken_2296",5263,"Tank 10","Chicken","2296"
"Chicken_2297",2776,"Tank 10","Chicken","2297"
"Chicken_2298",3644,"Tank 10","Chicken","2298"
"Chicken_2299",3247,"Tank 10","Chicken","2299"
"Chicken_2304",3654,"Tank 10","Chicken","2304"
"Chicken_2305",2464,"Tank 10","Chicken","2305"
"Chicken_2306",4275,"Tank 10","Chicken","2306"
"Chicken_2307",4685,"Tank 10","Chicken","2307"
"Chicken_2316",3638,"Tank 10","Chicken","2316"
"Chicken_2317",3474,"Tank 10","Chicken","2317"
"Chicken_2318",3371,"Tank 10","Chicken","2318"
"Chicken_2319",2757,"Tank 10","Chicken","2319"
"Chicken_2744",3727,"Tank 10","Chicken","2744"
"Chicken_2745",2008,"Tank 10","Chicken","2745"
"Chicken_2746",7561,"Tank 10","Chicken","2746"
"Chicken_2747",2144,"Tank 10","Chicken","2747"
"Chicken_3064",2290,"Tank 10","Chicken","3064"
"Chicken_3065",3650,"Tank 10","Chicken","3065"
"Chicken_3066",3426,"Tank 10","Chicken","3066"
"Chicken_3067",1565,"Tank 10","Chicken","3067"
"Chicken_313",3163,"Tank 10","Chicken","313"
"Chicken_314",2995,"Tank 10","Chicken","314"
"Chicken_315",2928,"Tank 10","Chicken","315"
"Chicken_316",5594,"Tank 10","Chicken","316"
"Chicken_833",5942,"Tank 10","Chicken","833"
"Chicken_834",2550,"Tank 10","Chicken","834"
"Chicken_835",3329,"Tank 10","Chicken","835"
"Chicken_836",2788,"Tank 10","Chicken","836"
"Chicken_849",5483,"Tank 10","Chicken","849"
"Chicken_850",6249,"Tank 10","Chicken","850"
"Chicken_851",3975,"Tank 10","Chicken","851"
"Chicken_852",2098,"Tank 10","Chicken","852"
"Chicken_2068",2502,"Tank 11","Chicken","2068"
"Chicken_2069",2510,"Tank 11","Chicken","2069"
"Chicken_2070",2786,"Tank 11","Chicken","2070"
"Chicken_2071",2520,"Tank 11","Chicken","2071"
"Chicken_2092",2986,"Tank 11","Chicken","2092"
"Chicken_2093",4976,"Tank 11","Chicken","2093"
"Chicken_2094",2635,"Tank 11","Chicken","2094"
"Chicken_2095",2013,"Tank 11","Chicken","2095"
"Chicken_2096",8816,"Tank 11","Chicken","2096"
"Chicken_2097",3671,"Tank 11","Chicken","2097"
"Chicken_2098",1777,"Tank 11","Chicken","2098"
"Chicken_2099",2432,"Tank 11","Chicken","2099"
"Chicken_2104",3806,"Tank 11","Chicken","2104"
"Chicken_2105",3594,"Tank 11","Chicken","2105"
"Chicken_2106",3464,"Tank 11","Chicken","2106"
"Chicken_2107",4508,"Tank 11","Chicken","2107"
"Chicken_2112",2774,"Tank 11","Chicken","2112"
"Chicken_2113",4087,"Tank 11","Chicken","2113"
"Chicken_2114",5592,"Tank 11","Chicken","2114"
"Chicken_2115",1774,"Tank 11","Chicken","2115"
"Chicken_2128",4923,"Tank 11","Chicken","2128"
"Chicken_2129",4496,"Tank 11","Chicken","2129"
"Chicken_2130",2574,"Tank 11","Chicken","2130"
"Chicken_2131",1988,"Tank 11","Chicken","2131"
"Chicken_2140",3530,"Tank 11","Chicken","2140"
"Chicken_2141",2488,"Tank 11","Chicken","2141"
"Chicken_2142",2780,"Tank 11","Chicken","2142"
"Chicken_2143",2425,"Tank 11","Chicken","2143"
"Chicken_2712",4585,"Tank 11","Chicken","2712"
"Chicken_2713",2975,"Tank 11","Chicken","2713"
"Chicken_2714",3349,"Tank 11","Chicken","2714"
"Chicken_2715",2661,"Tank 11","Chicken","2715"
"Chicken_2728",4835,"Tank 11","Chicken","2728"
"Chicken_2729",2712,"Tank 11","Chicken","2729"
"Chicken_2730",3271,"Tank 11","Chicken","2730"
"Chicken_2731",4543,"Tank 11","Chicken","2731"
"Chicken_3004",2770,"Tank 11","Chicken","3004"
"Chicken_3005",6300,"Tank 11","Chicken","3005"
"Chicken_3006",4581,"Tank 11","Chicken","3006"
"Chicken_3007",2667,"Tank 11","Chicken","3007"
