ID;Date;Time;No.;PAR;F1;F2;F3;Fm1;Fm2;Fm3;FvFm1;FvFm2;FvFm3;qc;Site.name;Genotype;Tank;Treatment;mFvFm;sdFvFm;mF;sdF;eventID
Chicken_2092;11/03/2022;21:47:17;1;0;0.3363;0.3162;0.3187;0.911;0.8602;0.9174;0.631;0.632;0.653;0;Chicken;797;11;MMM;0.638666666666667;0.0124230967690562;0.323733333333333;0.0109546032942016;Aspat_797
Chicken_2132;11/03/2022;21:42:13;1;0;0.306;0.326;0.327;0.8724;0.8959;0.8817;0.649;0.636;0.629;0;Chicken;797;8;MMM;0.638;0.0101488915650922;0.319666666666667;0.0118462370959446;Aspat_797
Chicken_621;11/03/2022;21:38:19;1;0;0.3837;0.3617;0.3426;0.8768;0.9267;0.9096;0.562;0.61;0.623;0;Chicken;797;4;MMM;0.598333333333333;0.0321299444962691;0.362666666666667;0.0205670448371499;Aspat_797
Chicken_505;11/03/2022;21:20:35;1;0;0.3998;0.3343;0.3402;0.8695;0.8368;0.8788;0.54;0.6;0.613;0;Chicken;797;9;+3C;0.584333333333333;0.038940124978399;0.3581;0.0362335479907778;Aspat_797
Chicken_797;11/03/2022;21:17:50;1;0;0.4174;0.3402;0.3475;0.8631;0.8915;0.9008;0.516;0.618;0.614;0;Chicken;797;7;+3C;0.582666666666667;0.0577696575490398;0.368366666666667;0.0426206913755905;Aspat_797
Chicken_901;11/03/2022;21:14:59;1;0;0.3553;0.3456;0.3011;0.9179;0.8949;0.8543;0.613;0.614;0.648;0;Chicken;797;5;+3C;0.625;0.0199248588451713;0.334;0.0289020760500003;Aspat_797
Chicken_61;11/03/2022;21:37:12;1;0;0.4062;0.3944;0.3881;0.871;0.8803;0.8622;0.534;0.552;0.55;0;Chicken;797;13;+6C;0.545333333333333;0.0098657657246325;0.396233333333333;0.00918821709219658;Aspat_797
Chicken_801;11/03/2022;21:24:43;1;0;0.3221;0.3201;0.3289;0.8636;0.8734;0.9213;0.627;0.633;0.643;0;Chicken;797;3;+6C;0.634333333333333;0.00808290376865477;0.3237;0.00461302503786833;Aspat_797
Chicken_2612;11/03/2022;21:02:53;1;0;0.3665;0.3382;0.3324;0.5425;0.5264;0.5362;0.324423963133641;0.357522796352584;0.380082058933234;2;Chicken;797;12;+9C;0.35400960613982;0.0279948707107653;0.3457;0.0182452733605172;Aspat_797
Chicken_2704;11/03/2022;20:57:33;1;0;0.2669;0.2781;0.2737;0.3671;0.4115;0.4286;0.273;0.324;0.361;0;Chicken;797;6;+9C;0.319333333333333;0.0441852162304694;0.2729;0.00564269439186635;Aspat_797
Chicken_3168;11/03/2022;21:09:01;1;0;0.3563;0.3812;0.3788;0.3959;0.4467;0.4653;0.1;0.147;0.186;0;Chicken;797;16;+9C;0.144333333333333;0.0430619708482245;0.3721;0.0137357198573646;Aspat_797
Chicken_2093;11/03/2022;21:47:17;1;0;0.3685;0.3333;0.3534;0.8485;0.825;0.8832;0.566;0.596;0.6;0;Chicken;798;11;MMM;0.587333333333333;0.0185831464863552;0.351733333333333;0.0176590864240859;Aspat_798
Chicken_2133;11/03/2022;21:42:13;1;0;0.3299;0.3402;0.2791;0.7796;0.8568;0.7727;0.577;0.603;0.639;0;Chicken;798;8;MMM;0.606333333333333;0.031134118476895;0.3164;0.032710701612775;Aspat_798
Chicken_622;11/03/2022;21:38:19;1;0;0.3627;0.3729;0.3617;0.783;0.8617;0.8715;0.537;0.567;0.585;0;Chicken;798;4;MMM;0.563;0.0242487113059642;0.365766666666667;0.00619784908926744;Aspat_798
Chicken_506;11/03/2022;21:20:35;1;0;0.4057;0.3563;0.3578;0.9101;0.8543;0.871;0.554;0.583;0.589;0;Chicken;798;9;+3C;0.575333333333333;0.0187171935218219;0.373266666666667;0.0280981019525044;Aspat_798
