Site_Treatment_Tank;ID;MeanNDVI;StdNDVI;Site.name;Rack.pos;Genotype;Treatment;Tank;meanTemp_hold.adj;eventID
Chicken_MMM_11;Chicken_2092;0.73106461763382;0.123611278831959;Chicken;2092;797;MMM;11;28.5205555555556;Aspat_797
Chicken_MMM_4;Chicken_621;0.712853133678436;0.0851010829210281;Chicken;621;797;MMM;4;28.3088888888889;Aspat_797
Chicken_MMM_8;Chicken_2132;0.687463343143463;0.102585636079311;Chicken;2132;797;MMM;8;28.8461111111111;Aspat_797
Chicken_+3C_5;Chicken_901;0.725586235523224;0.12770864367485;Chicken;901;797;+3C;5;31.3866666666667;Aspat_797
Chicken_+3C_7;Chicken_797;0.73047924041748;0.0886908397078514;Chicken;797;797;+3C;7;31.555;Aspat_797
Chicken_+3C_9;Chicken_505;0.684491515159607;0.0929719433188438;Chicken;505;797;+3C;9;31.3494444444444;Aspat_797
Chicken_+6C_10;Chicken_849;0.730951845645905;0.1024204865098;Chicken;849;797;+6C;10;34.2661111111111;Aspat_797
Chicken_+6C_13;Chicken_61;0.547458529472351;0.127876698970795;Chicken;61;797;+6C;13;34.3466666666667;Aspat_797
Chicken_+6C_3;Chicken_801;0.742877125740051;0.0697261244058609;Chicken;801;797;+6C;3;34.0916666666667;Aspat_797
Chicken_+9C_12;Chicken_2612;0.559423327445984;0.108106583356857;Chicken;2612;797;+9C;12;37.1088888888889;Aspat_797
Chicken_+9C_16;Chicken_3168;0.375131219625473;0.0976175740361214;Chicken;3168;797;+9C;16;37.2333333333333;Aspat_797
Chicken_+9C_6;Chicken_2704;0.235830098390579;0.116417206823826;Chicken;2704;797;+9C;6;37.7138888888889;Aspat_797
Chicken_MMM_11;Chicken_2093;0.628656268119812;0.0913139805197716;Chicken;2093;798;MMM;11;28.5205555555556;Aspat_798
Chicken_MMM_4;Chicken_622;0.696280598640442;0.0878478288650513;Chicken;622;798;MMM;4;28.3088888888889;Aspat_798
Chicken_MMM_8;Chicken_2133;0.663591742515564;0.105234280228615;Chicken;2133;798;MMM;8;28.8461111111111;Aspat_798
Chicken_+3C_5;Chicken_902;0.749797165393829;0.08233392983675;Chicken;902;798;+3C;5;31.3866666666667;Aspat_798
Chicken_+3C_7;Chicken_798;0.74310439825058;0.086761400103569;Chicken;798;798;+3C;7;31.555;Aspat_798
Chicken_+3C_9;Chicken_506;0.716015040874481;0.0796100720763206;Chicken;506;798;+3C;9;31.3494444444444;Aspat_798
Chicken_+6C_10;Chicken_850;0.747473478317261;0.0996443033218384;Chicken;850;798;+6C;10;34.2661111111111;Aspat_798
Chicken_+6C_13;Chicken_62;0.717950820922852;0.0860172510147095;Chicken;62;798;+6C;13;34.3466666666667;Aspat_798
Chicken_+6C_3;Chicken_802;0.698187351226807;0.11392156034708;Chicken;802;798;+6C;3;34.0916666666667;Aspat_798
Chicken_+9C_12;Chicken_2613;0.464584320783615;0.108789183199406;Chicken;2613;798;+9C;12;37.1088888888889;Aspat_798
Chicken_+9C_16;Chicken_3169;0.468017786741257;0.149875476956367;Chicken;3169;798;+9C;16;37.2333333333333;Aspat_798
Chicken_+9C_6;Chicken_2705;0.248581632971764;0.0681222751736641;Chicken;2705;798;+9C;6;37.7138888888889;Aspat_798
Chicken_MMM_11;Chicken_2094;0.708274722099304;0.107331186532974;Chicken;2094;799;MMM;11;28.5205555555556;Aspat_799
Chicken_MMM_4;Chicken_623;0.678931295871735;0.0895096138119698;Chicken;623;799;MMM;4;28.3088888888889;Aspat_799
Chicken_MMM_8;Chicken_2134;0.671715080738068;0.0547157898545265;Chicken;2134;799;MMM;8;28.8461111111111;Aspat_799
Chicken_+3C_5;Chicken_903;0.768428862094879;0.0617550574243069;Chicken;903;799;+3C;5;31.3866666666667;Aspat_799
Chicken_+3C_7;Chicken_799;0.740589737892151;0.0565245784819126;Chicken;799;799;+3C;7;31.555;Aspat_799
Chicken_+3C_9;Chicken_507;0.72748464345932;0.0857497677206993;Chicken;507;799;+3C;9;31.3494444444444;Aspat_799
Chicken_+6C_10;Chicken_851;0.7674919962883;0.0760182961821556;Chicken;851;799;+6C;10;34.2661111111111;Aspat_799
Chicken_+6C_13;Chicken_63;0.692266166210175;0.0900598466396332;Chicken;63;799;+6C;13;34.3466666666667;Aspat_799
Chicken_+6C_3;Chicken_803;0.586522817611694;0.0619863793253899;Chicken;803;799;+6C;3;34.0916666666667;Aspat_799
Chicken_+9C_12;Chicken_2614;0.470359116792679;0.0785373002290726;Chicken;2614;799;+9C;12;37.1088888888889;Aspat_799
Chicken_+9C_16;Chicken_3170;0.248968571424484;0.0809990614652634;Chicken;3170;799;+9C;16;37.2333333333333;Aspat_799
Chicken_+9C_6;Chicken_2706;0.201416060328484;0.0964598804712296;Chicken;2706;799;+9C;6;37.7138888888889;Aspat_799
Chicken_MMM_11;Chicken_2095;0.704040944576263;0.109209500253201;Chicken;2095;800;MMM;11;28.5205555555556;Aspat_800
Chicken_MMM_4;Chicken_624;0.668317437171936;0.107664123177528;Chicken;624;800;MMM;4;28.3088888888889;Aspat_800
Chicken_MMM_8;Chicken_2135;0.621107220649719;0.105934754014015;Chicken;2135;800;MMM;8;28.8461111111111;Aspat_800
Chicken_+3C_5;Chicken_904;0.649478912353516;0.10081272572279;Chicken;904;800;+3C;5;31.3866666666667;Aspat_800
Chicken_+3C_7;Chicken_800;0.723421216011047;0.123754605650902;Chicken;800;800;+3C;7;31.555;Aspat_800
Chicken_+3C_9;Chicken_508;0.430416375398636;0.0655640736222267;Chicken;508;800;+3C;9;31.3494444444444;Aspat_800
Chicken_+6C_10;Chicken_852;0.651260197162628;0.109332829713821;Chicken;852;800;+6C;10;34.2661111111111;Aspat_800
Chicken_+6C_13;Chicken_64;0.629341304302216;0.129437044262886;Chicken;64;800;+6C;13;34.3466666666667;Aspat_800
