Site.name;Lat;Lon;GBRMPA.zoning;Km_to_coastline;MMM
Chicken;-18.6706;147.7064;blue;77.065;28.37
Davies;-18.827;147.6268;yellow;57.833;28.38
Fitzroy Island;-16.9406;145.9948;yellow;5.782;28.77
Fitzroy Reef;-23.617;152.15;blue;58.613;27.09
Heron;-23.441601;151.912971;green/yellow;64.431;27.12
Kelso;-18.424;146.9849;green;47.579;28.45
Lady Musgrave;-23.8929;152.4064;blue;58.827;27.1
Mackay;-16.0384;145.6514;blue;20.37;28.79
Martin;-14.7801;145.3681;blue;16.686;28.63
Moore;-16.8457;146.2316;green;29.548;28.65
No Name;-14.6508;145.6383;green;45.102;28.57
North Direction;-14.7434;145.5133;green / scientific research;28.477;28.56
Pelorus East;-18.5587;146.5023;green / scientific research;16.014;28.74
St Crispin;-16.0724;145.8449;blue;40.914;28.68
