Reef.name;Site name;Morph;Collection date;Species;Genotype;Type;Depth;Time;% colony collected;Health Chart;Comments;Tide_adjust;Depth_corrected;Lat;Lon;eventID
Hicks;Hicks;NA;28/02/2022;Aspat;426;NA;5.6;28/02/2022 09:36;5;C3;NA;2.39257707424552;3,2;-14,475094;145,502542;Aspat_426
Hicks;Hicks;NA;28/02/2022;Aspat;427;NA;5.8;28/02/2022 09:37;10;C3;NA;2.38726616181098;3,4;-14,475117;145,502517;Aspat_427
Hicks;Hicks;NA;28/02/2022;Aspat;428;NA;4.4;28/02/2022 09:48;5;C3;NA;2.32560812841974;2,1;-14,47508;145,502557;Aspat_428
Hicks;Hicks;NA;28/02/2022;Aspat;429;NA;6.3;28/02/2022 09:50;5;C4;NA;2.31378320676098;4;-14,475055;145,502585;Aspat_429
Hicks;Hicks;NA;28/02/2022;Aspat;430;NA;6.4;28/02/2022 09:52;5;C3;NA;2.3017772286985;4,1;-14,47508;145,50259;Aspat_430
Hicks;Hicks;NA;28/02/2022;Aspat;431;NA;5.4;28/02/2022 09:54;5;C3;NA;2.28959349389019;3,1;-14,475049;145,502616;Aspat_431
Hicks;Hicks;NA;28/02/2022;Aspat;432;NA;4.5;28/02/2022 09:57;5;C4;NA;2.27099193578065;2,2;-14,475019;145,502648;Aspat_432
Hicks;Hicks;NA;28/02/2022;Aspat;433;NA;4.7;28/02/2022 09:59;10;C3;NA;2.25837856344546;2,4;-14,475007;145,502672;Aspat_433
Hicks;Hicks;NA;28/02/2022;Aspat;434;NA;4.4;28/02/2022 10:01;5;C3;NA;2.24559936181825;2,2;-14,474992;145,502678;Aspat_434
Hicks;Hicks;NA;28/02/2022;Aspat;435;NA;5.2;28/02/2022 10:02;5;C4;NA;2.23914867081816;3;-14,474981;145,502698;Aspat_435
Hicks;Hicks;NA;28/02/2022;Aspat;436;NA;4.4;28/02/2022 10:06;10;C3;NA;2.21294901273299;2,2;-14,474986;145,502689;Aspat_436
Hicks;Hicks;NA;28/02/2022;Aspat;437;NA;4.4;28/02/2022 10:12;5;C3;NA;2.1725087123531;2,2;-14,47497;145,502715;Aspat_437
Hicks;Hicks;NA;28/02/2022;Aspat;438;NA;4.4;28/02/2022 10:13;5;C4;NA;2.16564148589455;2,2;-14,474966;145,502713;Aspat_438
Hicks;Hicks;NA;28/02/2022;Aspat;439;NA;3.8;28/02/2022 10:15;5;C3;NA;2.15180224897362;1,6;-14,474964;145,502743;Aspat_439
Hicks;Hicks;NA;28/02/2022;Aspat;440;NA;2.2;28/02/2022 12:29;5;B4/B5;NA;1.12386397793083;1,1;-14,474921;145,50275;Aspat_440
Hicks;Hicks;NA;28/02/2022;Aspat;441;NA;3;28/02/2022 12:33;5;D3;NA;1.09705098726701;1,9;-14,474892;145,502861;Aspat_441
Hicks;Hicks;NA;28/02/2022;Aspat;442;NA;3.1;28/02/2022 12:36;5;C4;NA;1.07734215693454;2;-14,47489;145,502862;Aspat_442
Hicks;Hicks;NA;28/02/2022;Aspat;443;NA;3.8;28/02/2022 12:39;5;C3;NA;1.05799052716012;2,7;-14,474887;145,502864;Aspat_443
Hicks;Hicks;NA;28/02/2022;Aspat;444;NA;4.3;28/02/2022 12:43;5;C2;NA;1.03276464915235;3,3;-14,474895;145,502881;Aspat_444
Hicks;Hicks;NA;28/02/2022;Aspat;445;NA;2.2;28/02/2022 12:45;5;C4;NA;1.02040650610981;1,2;-14,474842;145,502893;Aspat_445
Hicks;Hicks;NA;28/02/2022;Aspat;446;NA;2.2;28/02/2022 12:48;5;B4/B5;NA;1.00219735529271;1,2;-14,474864;145,50289;Aspat_446
Hicks;Hicks;NA;28/02/2022;Aspat;447;NA;3;28/02/2022 12:51;5;B4/B5;NA;0.984391871580256;2;-14,474907;145,502798;Aspat_447
Hicks;Hicks;NA;28/02/2022;Aspat;448;NA;2.9;28/02/2022 12:53;5;C6;NA;0.972751256222559;1,9;-14,474994;145,502743;Aspat_448
Hicks;Hicks;NA;28/02/2022;Aspat;449;NA;3.5;28/02/2022 12:57;5;C5;NA;0.950035689851717;2,5;-14,474852;145,502929;Aspat_449
Hicks;Hicks;NA;28/02/2022;Aspat;450;NA;3.5;28/02/2022 13:00;5;C2;NA;0.933506236327389;2,6;-14,474892;145,502936;Aspat_450
Hicks;Hicks;NA;28/02/2022;Aspat;451;NA;3.1;28/02/2022 13:04;5;C3;NA;0.91216269211121;2,2;-14,474847;145,502957;Aspat_451
Hicks;Hicks;NA;28/02/2022;Aspat;452;NA;2.6;28/02/2022 13:06;5;C4/C5;NA;0.901795703410426;1,7;-14,474843;145,502958;Aspat_452
Hicks;Hicks;NA;28/02/2022;Aspat;453;NA;3.3;28/02/2022 13:09;5;C6;NA;0.8866342325459;2,4;-14,474845;145,502953;Aspat_453
Hicks;Hicks;NA;28/02/2022;Aspat;454;NA;3.1;28/02/2022 13:13;5;B4/B5;NA;0.867159602286686;2,2;-14,474847;145,502942;Aspat_454
Hicks;Hicks;NA;28/02/2022;Aspat;455;NA;3.5;28/02/2022 13:17;5;C3;NA;0.848551015647346;2,7;-14,474828;145,502991;Aspat_455
Hicks;Hicks;NA;28/02/2022;Aspat;456;NA;3.9;28/02/2022 13:19;5;C2;NA;0.839577918909666;3,1;-14,474808;145,50302;Aspat_456
Hicks;Hicks;NA;28/02/2022;Aspat;457;NA;4;28/02/2022 13:22;5;B5;NA;0.82653922673344;3,2;-14,474835;145,502969;Aspat_457
Hicks;Hicks;NA;28/02/2022;Aspat;458;NA;4;28/02/2022 13:25;5;C5;NA;0.814012821638724;3,2;-14,474766;145,503105;Aspat_458
Hicks;Hicks;NA;28/02/2022;Aspat;459;NA;5;28/02/2022 13:30;5;C5;NA;0.794294788179355;4,2;-14,474748;145,503075;Aspat_459
Hicks;Hicks;NA;28/02/2022;Aspat;460;NA;5.5;28/02/2022 13:32;5;D5;NA;0.786819678456659;4,7;-14,474749;145,503085;Aspat_460
Hicks;Hicks;NA;28/02/2022;Aspat;461;NA;2.5;28/02/2022 13:37;5;B3;NA;0.769180137798058;1,7;-14,474809;145,503184;Aspat_461
Hicks;Hicks;NA;28/02/2022;Aspat;462;NA;2.7;28/02/2022 13:39;5;D4;NA;0.762548705364837;1,9;-14,474723;145,503195;Aspat_462
Hicks;Hicks;NA;28/02/2022;Aspat;463;NA;2.5;28/02/2022 13:41;5;D3;NA;0.756162549405343;1,7;-14,474719;145,503195;Aspat_463
Hicks;Hicks;NA;28/02/2022;Aspat;464;NA;3.3;28/02/2022 13:43;5;B4/B5;NA;0.750023425056047;2,5;-14,474705;145,503209;Aspat_464
Hicks;Hicks;NA;28/02/2022;Aspat;465;NA;3.4;28/02/2022 13:46;5;E3;NA;0.741281594967744;2,7;-14,474696;145,503218;Aspat_465
Hicks;Hicks;NA;28/02/2022;Aspat;466;NA;2.9;28/02/2022 13:47;5;B3;NA;0.738492951806074;2,2;-14,474672;145,503206;Aspat_466
Hicks;Hicks;NA;28/02/2022;Aspat;467;NA;1.9;28/02/2022 13:51;5;D4;NA;0.72796996063491;1,2;-14,474653;145,503232;Aspat_467
Hicks;Hicks;NA;28/02/2022;Aspat;468;NA;2.1;28/02/2022 13:51;5;B3;NA;0.72796996063491;1,4;-14,47463;145,503245;Aspat_468
