"","ED50","Std.error","Lower","Upper","Site.name","Term","Genotype","Model"
"e:995:50",37.276620172705,0.352006298311084,36.5851002047351,37.968140140675,"Chicken","ED50","995","W2.3"
"e:1507:50",36.3731292588725,0.628654576038819,35.1381309239781,37.6081275937669,"Chicken","ED50","1507","W2.3"
"e:1528:50",37.0088518180007,0.789260410256711,35.4583416815647,38.5593619544368,"Chicken","ED50","1528","W2.3"
"e:1529:50",36.4998489251191,0.484335342454914,35.5483671984906,37.4513306517476,"Chicken","ED50","1529","W2.3"
"e:1505:50",36.9489522414742,0.470670273920487,36.0243156815389,37.8735888014094,"Chicken","ED50","1505","W2.3"
"e:1530:50",37.0022808678907,0.362391326117379,36.290359406736,37.7142023290454,"Chicken","ED50","1530","W2.3"
"e:997:50",36.4550351808774,0.371732343437067,35.7247631958011,37.1853071659537,"Chicken","ED50","997","W2.3"
"e:804:50",36.9734928015662,0.399888136547973,36.1879084733766,37.7590771297558,"Chicken","ED50","804","W2.3"
"e:798:50",37.1410480430587,0.271070469744076,36.6085273368827,37.6735687492347,"Chicken","ED50","798","W2.3"
"e:1508:50",35.1845421687321,0.645159655514153,33.9171194366469,36.4519649008174,"Chicken","ED50","1508","W2.3"
"e:989:50",36.8586872206554,0.369423299630544,36.1329513757186,37.5844230655922,"Chicken","ED50","989","W2.3"
"e:1522:50",36.1224582477604,0.352724532055879,35.4295273022636,36.8153891932571,"Chicken","ED50","1522","W2.3"
"e:805:50",36.7421710182874,0.369985482798856,36.0153307587751,37.4690112777998,"Chicken","ED50","805","W2.3"
"e:996:50",37.2517599014772,0.0650998738381172,37.1238705344762,37.3796492684782,"Chicken","ED50","996","W2.3"
"e:1521:50",35.961423031953,0.399505937843118,35.1765895370223,36.7462565268836,"Chicken","ED50","1521","W2.3"
"e:1506:50",36.2953429700326,0.455674601813998,35.400165561097,37.1905203789682,"Chicken","ED50","1506","W2.3"
"e:799:50",36.9983897108791,0.29829090117711,36.4123941891585,37.5843852325996,"Chicken","ED50","799","W2.3"
"e:1525:50",36.8956915764959,0.435602813891152,36.039945399922,37.7514377530698,"Chicken","ED50","1525","W2.3"
"e:999:50",37.1387695961162,0.111475258488657,36.9197753123509,37.3577638798815,"Chicken","ED50","999","W2.3"
"e:998:50",37.0495118058484,0.397236615264584,36.2691364182993,37.8298871933976,"Chicken","ED50","998","W2.3"
"e:1531:50",36.6721921777008,0.52354549460502,35.6436817067315,37.7007026486701,"Chicken","ED50","1531","W2.3"
"e:1516:50",36.3567976344931,0.360072113405613,35.6494322903961,37.0641629785901,"Chicken","ED50","1516","W2.3"
"e:797:50",37.0016085577198,0.374701369081472,36.2655038914433,37.7377132239964,"Chicken","ED50","797","W2.3"
"e:1515:50",36.3618283989009,0.410190627997309,35.5560047210427,37.1676520767591,"Chicken","ED50","1515","W2.3"
"e:1520:50",36.4826995316863,0.331319735902506,35.8318185268338,37.1335805365387,"Chicken","ED50","1520","W2.3"
"e:988:50",37.4401135783827,0.112778990376625,37.2185581000088,37.6616690567565,"Chicken","ED50","988","W2.3"
"e:1509:50",36.2017881903915,0.360254740547351,35.4940640734095,36.9095123073736,"Chicken","ED50","1509","W2.3"
"e:990:50",37.33787045466,0.114539712541287,37.1128560196119,37.5628848897081,"Chicken","ED50","990","W2.3"
"e:1524:50",37.3036171674629,0.161344058804327,36.9866551161819,37.6205792187439,"Chicken","ED50","1524","W2.3"
"e:1532:50",38.0816837803229,0.70652463965332,36.6937089101935,39.4696586504523,"Chicken","ED50","1532","W2.3"
"e:1517:50",37.0686534175068,0.177487730492874,36.7199769583231,37.4173298766906,"Chicken","ED50","1517","W2.3"
"e:806:50",36.9978549669222,0.388427342895534,36.2347854849086,37.7609244489359,"Chicken","ED50","806","W2.3"
"e:801:50",36.2672153385582,0.374450389539246,35.5316037241555,37.0028269529608,"Chicken","ED50","801","W2.3"
"e:1523:50",37.5478906682889,0.594004283897672,36.3809631861792,38.7148181503987,"Chicken","ED50","1523","W2.3"
"e:1513:50",36.18496603003,0.366167087332752,35.465627047407,36.904305012653,"Chicken","ED50","1513","W2.3"
"e:1527:50",37.0382821083912,0.75591701708423,35.5532754083688,38.5232888084135,"Chicken","ED50","1527","W2.3"
"e:987:50",36.9135475763231,0.361263263663316,36.20384220538,37.6232529472662,"Chicken","ED50","987","W2.3"
"e:1504:50",37.0376233415911,0.333383150785298,36.3826887371283,37.6925579460539,"Chicken","ED50","1504","W2.3"
"e:1510:50",37.0486204954493,0.399357991697418,36.2640776422328,37.8331633486658,"Chicken","ED50","1510","W2.3"
"e:1501:50",36.3768919980025,0.425409991225775,35.5411697256511,37.2126142703539,"Chicken","ED50","1501","W2.3"
"e:803:50",36.6814492686936,0.371703709859209,35.9512335345734,37.4116650028138,"Chicken","ED50","803","W2.3"
"e:1518:50",35.7852392873581,0.360937887737064,35.0761731207451,36.4943054539712,"Chicken","ED50","1518","W2.3"
"e:956:50",37.2122723438294,0.345975635618786,36.5325996743079,37.8919450133509,"Chicken","ED50","956","W2.3"
"e:994:50",36.9471859674892,0.346246436103181,36.2669813076504,37.6273906273279,"Chicken","ED50","994","W2.3"
"e:1526:50",37.0803766890318,0.188350499690362,36.7103602088212,37.4503931692423,"Chicken","ED50","1526","W2.3"
"e:992:50",36.3259542784856,0.371982608710703,35.5951906447234,37.0567179122479,"Chicken","ED50","992","W2.3"
"e:1514:50",36.8284572864107,0.38304890290249,36.0759538046918,37.5809607681296,"Chicken","ED50","1514","W2.3"
"e:1502:50",36.9512898211392,0.36756147380309,36.2292115520547,37.6733680902237,"Chicken","ED50","1502","W2.3"
"e:1534:50",37.0859143921107,0.520389990791015,36.0636029406102,38.1082258436111,"Chicken","ED50","1534","W2.3"
"e:991:50",37.2347138765646,0.522429760687651,36.2083952762707,38.2610324768585,"Chicken","ED50","991","W2.3"
"e:1533:50",36.4004427403639,0.373762886255396,35.6661817331836,37.1347037475441,"Chicken","ED50","1533","W2.3"
"e:800:50",36.7312575252392,0.30354942461809,36.1349315805151,37.3275834699633,"Chicken","ED50","800","W2.3"
"e:1511:50",37.4573824162503,0.659972655510619,36.1608593943911,38.7539054381094,"Chicken","ED50","1511","W2.3"
"e:1000:50",36.2978772676688,0.330426404424233,35.6487512216288,36.9470033137089,"Chicken","ED50","1000","W2.3"
"e:1503:50",36.4060728772548,0.343285816393471,35.7316843850717,37.0804613694378,"Chicken","ED50","1503","W2.3"
"e:802:50",36.9288365710965,0.407716550449475,36.1278732438481,37.7297998983449,"Chicken","ED50","802","W2.3"
"e:993:50",36.6410672648307,0.357698794299378,35.938364330356,37.3437701993055,"Chicken","ED50","993","W2.3"
"e:1535:50",36.9515442525974,0.549886914739074,35.8712857927576,38.0318027124373,"Chicken","ED50","1535","W2.3"
"e:1519:50",35.9875541100639,0.351195939665969,35.2976260999282,36.6774821201996,"Chicken","ED50","1519","W2.3"
"e:1512:50",36.6499398314981,0.47350367950346,35.7197370173583,37.5801426456378,"Chicken","ED50","1512","W2.3"
"e:1544:50",37.714272287399,0.320212171528441,37.0844192814062,38.3441252933918,"Davies","ED50","1544","W2.3"
"e:1590:50",38.2472870909284,1.09446260309075,36.0944939687527,40.400080213104,"Davies","ED50","1590","W2.3"
"e:1586:50",37.2655494267075,0.498410533865601,36.2851826546536,38.2459161987614,"Davies","ED50","1586","W2.3"
"e:1565:50",39.0980946315083,1.43097330355951,36.2833895175826,41.9127997454339,"Davies","ED50","1565","W2.3"
"e:1543:50",37.095135212613,0.302097868138482,36.5009127961358,37.6893576290901,"Davies","ED50","1543","W2.3"
"e:1536:50",36.8730943628811,0.536344201378518,35.8181125804193,37.9280761453429,"Davies","ED50","1536","W2.3"
"e:1584:50",37.7433353489902,0.482046789142367,36.7951558412555,38.6915148567248,"Davies","ED50","1584","W2.3"
"e:1591:50",38.6746257558281,1.65802839338002,35.4133063543605,41.9359451572956,"Davies","ED50","1591","W2.3"
"e:1548:50",37.4679653776784,0.254662070284584,36.9670485333391,37.9688822220178,"Davies","ED50","1548","W2.3"
"e:1564:50",40.726396048511,2.41660711687303,35.9729625684511,45.4798295285709,"Davies","ED50","1564","W2.3"
"e:1572:50",41.203678949162,2.82603208626395,35.6449120975801,46.7624458007438,"Davies","ED50","1572","W2.3"
"e:1589:50",36.3645847531494,5.42220829624074,25.6991744465871,47.0299950597117,"Davies","ED50","1589","W2.3"
"e:1558:50",36.879177656343,0.423643940379005,36.0458757614004,37.7124795512856,"Davies","ED50","1558","W2.3"
"e:1563:50",37.7983675800955,0.54752582002152,36.7213917051527,38.8753434550384,"Davies","ED50","1563","W2.3"
"e:1557:50",36.7562015732815,0.415249325390488,35.9394117723653,37.5729913741977,"Davies","ED50","1557","W2.3"
"e:1587:50",38.5691800596678,1.090441527633,36.4242963384755,40.7140637808601,"Davies","ED50","1587","W2.3"
"e:1550:50",37.1699784934574,0.791067981686963,35.6139584838747,38.72599850304,"Davies","ED50","1550","W2.3"
"e:1560:50",38.0221192184356,0.769372875976079,36.5087731880527,39.5354652488184,"Davies","ED50","1560","W2.3"
"e:1582:50",40.1181129308404,2.17912530136055,35.8318029665894,44.4044228950915,"Davies","ED50","1582","W2.3"
"e:1552:50",37.8246636547959,0.965174677029707,35.9261781327324,39.7231491768594,"Davies","ED50","1552","W2.3"
"e:1549:50",37.1157805285992,0.149775167813788,36.8211748013394,37.4103862558591,"Davies","ED50","1549","W2.3"
"e:1551:50",37.113625075476,0.439484519208302,36.2491649764443,37.9780851745077,"Davies","ED50","1551","W2.3"
"e:1559:50",37.1493844187423,0.192991976213425,36.7697718144796,37.5289970230049,"Davies","ED50","1559","W2.3"
"e:1571:50",37.0727613972207,0.292816562100867,36.4967951840585,37.6487276103829,"Davies","ED50","1571","W2.3"
"e:1556:50",37.0482731345859,0.269178880825658,36.5188019204577,37.5777443487142,"Davies","ED50","1556","W2.3"
"e:1588:50",38.6409437219859,1.40728325877482,35.8728366054085,41.4090508385634,"Davies","ED50","1588","W2.3"
"e:1585:50",37.2981883621375,0.444085854561613,36.4246774987641,38.171699225511,"Davies","ED50","1585","W2.3"
"e:1547:50",37.9423065586357,0.611536172915823,36.7394231861961,39.1451899310753,"Davies","ED50","1547","W2.3"
"e:1545:50",37.7667100070612,0.981504967682256,35.8361030243826,39.6973169897398,"Davies","ED50","1545","W2.3"
"e:1541:50",36.995612344106,0.439181885793817,36.1317475209032,37.8594771673088,"Davies","ED50","1541","W2.3"
"e:1553:50",37.1477689968137,0.706752646925411,35.7575961091482,38.5379418844791,"Davies","ED50","1553","W2.3"
"e:1592:50",37.7306704495369,0.627194008590639,36.4969883263189,38.964352572755,"Davies","ED50","1592","W2.3"
"e:1573:50",42.0220593995092,9.75873567459119,22.8267584526677,61.2173603463507,"Davies","ED50","1573","W2.3"
"e:1583:50",37.2952717282778,0.485625200946065,36.340053532974,38.2504899235817,"Davies","ED50","1583","W2.3"
"e:1570:50",36.8257565631935,0.17810053788726,36.4754352165009,37.1760779098862,"Davies","ED50","1570","W2.3"
"e:1537:50",37.2959045575476,0.625056345968954,36.0664271877643,38.5253819273309,"Davies","ED50","1537","W2.3"
"e:1568:50",37.2127645015457,0.40038141917292,36.4252196708605,38.0003093322309,"Davies","ED50","1568","W2.3"
"e:1569:50",37.066723779951,0.217031358430982,36.6398260363395,37.4936215235626,"Davies","ED50","1569","W2.3"
"e:1561:50",37.8835504367839,NA,NA,NA,"Davies","ED50","1561","W2.3"
"e:1546:50",37.592330277711,0.66412266369017,36.2860099898952,38.8986505655269,"Davies","ED50","1546","W2.3"
"e:1555:50",37.7908337294424,0.417900460253605,36.9688291821446,38.6128382767402,"Davies","ED50","1555","W2.3"
"e:1540:50",38.0530794024537,0.854239584977989,36.372801704488,39.7333571004194,"Davies","ED50","1540","W2.3"
"e:1562:50",37.6931845583279,0.420132775633775,36.8667890769009,38.5195800397548,"Davies","ED50","1562","W2.3"
"e:776:50",37.3823469667615,0.751074566861871,35.9063502985742,38.8583436349488,"Fitzroy Island","ED50","776","W2.3"
"e:848:50",36.7897092357688,0.456278345671971,35.8930401862606,37.6863782852771,"Fitzroy Island","ED50","848","W2.3"
"e:823:50",36.6032947591861,0.416026623219674,35.7857275869743,37.4208619313979,"Fitzroy Island","ED50","823","W2.3"
"e:814:50",37.3424756704507,0.582449408295416,36.1978577803474,38.4870935605541,"Fitzroy Island","ED50","814","W2.3"
"e:851:50",36.1728264870834,0.429106130481258,35.3295557296467,37.0160972445202,"Fitzroy Island","ED50","851","W2.3"
"e:817:50",36.8836070385319,0.502957328834135,35.8952053879457,37.8720086891181,"Fitzroy Island","ED50","817","W2.3"
"e:839:50",36.3002861062669,0.499089251210426,35.3194859242123,37.2810862883215,"Fitzroy Island","ED50","839","W2.3"
"e:812:50",38.0011497549171,0.795776292593729,36.4373061522794,39.5649933575548,"Fitzroy Island","ED50","812","W2.3"
"e:816:50",36.5948985492835,0.474126121003307,35.6631554098168,37.5266416887502,"Fitzroy Island","ED50","816","W2.3"
"e:829:50",35.9489721892796,0.381969107049867,35.1983341644671,36.6996102140921,"Fitzroy Island","ED50","829","W2.3"
"e:818:50",37.1279762550719,0.500638383568256,36.1441317491917,38.1118207609522,"Fitzroy Island","ED50","818","W2.3"
"e:772:50",36.5604953095293,0.441511846278128,35.6928450883341,37.4281455307244,"Fitzroy Island","ED50","772","W2.3"
"e:841:50",36.9336510467077,0.499704829428471,35.9516411426908,37.9156609507246,"Fitzroy Island","ED50","841","W2.3"
"e:822:50",36.3414825699344,0.408789978531347,35.5381367066579,37.1448284332108,"Fitzroy Island","ED50","822","W2.3"
"e:847:50",36.6394476053696,0.431591095857214,35.7912934438378,37.4876017669013,"Fitzroy Island","ED50","847","W2.3"
