"Trait","Metric","Variable","Varimp","RF_id"
"NDVI","Ratio","DHW_collection",0.0235506517740082,1
"NDVI","Ratio","MMM",0.017087434450927,1
"NDVI","Ratio","AR",0.004646324599707,1
"NDVI","Ratio","Velocity_OM",0.00318721705409854,1
"NDVI","Ratio","CF30a",0.00305133384379168,1
"NDVI","Ratio","TSA_DHW_stdev",0.00168846888031324,1
"NDVI","Ratio","Turbidity",0.000712222117111348,1
"NDVI","Ratio","Depth",0.000583004909421217,1
"NDVI","Ratio","DHW_freq_sup4",0.000376053714573473,1
"NDVI","Ratio","Health.score",0.000234489576774497,1
"NDVI","Ratio","ROTC_ss",0.000182302763431436,1
"NDVI","Ratio","DHW_freq_sup4_1year",8.84247783111794e-05,1
"NDVI","Ratio","MMM",0.019939569781125,2
"NDVI","Ratio","DHW_collection",0.0157742477239886,2
"NDVI","Ratio","AR",0.00453368886796816,2
"NDVI","Ratio","Velocity_OM",0.00264495495665383,2
"NDVI","Ratio","CF30a",0.00248794477945804,2
"NDVI","Ratio","TSA_DHW_stdev",0.0014025087812118,2
"NDVI","Ratio","Turbidity",0.000919773192371297,2
"NDVI","Ratio","Depth",0.000818284834241672,2
"NDVI","Ratio","DHW_freq_sup4",0.000426298188458101,2
"NDVI","Ratio","ROTC_ss",0.000314076170831957,2
"NDVI","Ratio","Health.score",0.000189715983023441,2
"NDVI","Ratio","DHW_freq_sup4_1year",7.05048130488322e-05,2
"NDVI","Ratio","DHW_collection",0.0209787881680575,3
"NDVI","Ratio","MMM",0.0182222534392608,3
"NDVI","Ratio","AR",0.00458765337733092,3
"NDVI","Ratio","CF30a",0.00268097843873911,3
"NDVI","Ratio","Velocity_OM",0.00243694934843637,3
"NDVI","Ratio","TSA_DHW_stdev",0.00178456417144998,3
"NDVI","Ratio","Turbidity",0.00115223620888665,3
"NDVI","Ratio","Depth",0.0010098739952432,3
"NDVI","Ratio","DHW_freq_sup4",0.000699872470656422,3
"NDVI","Ratio","ROTC_ss",0.000353331251194083,3
"NDVI","Ratio","Health.score",0.00011043113375724,3
"NDVI","Ratio","DHW_freq_sup4_1year",9.75970716822029e-05,3
"NDVI","Ratio","DHW_collection",0.0217421750267263,4
"NDVI","Ratio","MMM",0.0137317669421001,4
"NDVI","Ratio","AR",0.00386574007148642,4
"NDVI","Ratio","CF30a",0.00290376609737732,4
"NDVI","Ratio","Velocity_OM",0.00258569806492647,4
"NDVI","Ratio","TSA_DHW_stdev",0.00129516467324424,4
"NDVI","Ratio","Turbidity",0.000751492579724652,4
"NDVI","Ratio","Depth",0.000726609031538239,4
"NDVI","Ratio","DHW_freq_sup4",0.000388590391864681,4
"NDVI","Ratio","ROTC_ss",0.000243475916516541,4
"NDVI","Ratio","DHW_freq_sup4_1year",0.000102834099986269,4
"NDVI","Ratio","Health.score",9.08391937995021e-05,4
"NDVI","Ratio","DHW_collection",0.0192661935786119,5
"NDVI","Ratio","MMM",0.0142768929445082,5
"NDVI","Ratio","AR",0.00400539592609669,5
"NDVI","Ratio","Velocity_OM",0.00254577018967794,5
"NDVI","Ratio","CF30a",0.00199673776763902,5
"NDVI","Ratio","TSA_DHW_stdev",0.00177396316632203,5
"NDVI","Ratio","Turbidity",0.000673220257809933,5
"NDVI","Ratio","DHW_freq_sup4",0.000425574830799439,5
"NDVI","Ratio","Depth",0.000409902503439285,5
"NDVI","Ratio","ROTC_ss",0.000221937616906289,5
"NDVI","Ratio","Health.score",0.000156011097758963,5
"NDVI","Ratio","DHW_freq_sup4_1year",7.1095890638336e-05,5
"NDVI","Ratio","MMM",0.0227368904737839,6
"NDVI","Ratio","DHW_collection",0.0196511322587447,6
"NDVI","Ratio","AR",0.00503531202938707,6
"NDVI","Ratio","Velocity_OM",0.00367973418705677,6
"NDVI","Ratio","CF30a",0.00249866482858514,6
"NDVI","Ratio","TSA_DHW_stdev",0.00239193033644128,6
"NDVI","Ratio","Turbidity",0.00077571204454693,6
"NDVI","Ratio","DHW_freq_sup4",0.000566626042790881,6
"NDVI","Ratio","Depth",0.00048065315085228,6
"NDVI","Ratio","ROTC_ss",0.000209956222808303,6
"NDVI","Ratio","DHW_freq_sup4_1year",0.000141809605559539,6
"NDVI","Ratio","Health.score",1.02031669929167e-06,6
"NDVI","Ratio","DHW_collection",0.0217796513843275,7
"NDVI","Ratio","MMM",0.0164322297763928,7
"NDVI","Ratio","AR",0.00476884557715474,7
"NDVI","Ratio","Velocity_OM",0.00296367256913062,7
"NDVI","Ratio","CF30a",0.00279512382998567,7
"NDVI","Ratio","TSA_DHW_stdev",0.00170838858584296,7
"NDVI","Ratio","Depth",0.000928856323592867,7
"NDVI","Ratio","Turbidity",0.000864317860085672,7
"NDVI","Ratio","DHW_freq_sup4",0.000574213152116636,7
"NDVI","Ratio","ROTC_ss",0.000448098519137479,7
"NDVI","Ratio","Health.score",9.39875458959065e-05,7
"NDVI","Ratio","DHW_freq_sup4_1year",8.3108877366685e-05,7
"NDVI","Ratio","DHW_collection",0.0187564227139386,8
"NDVI","Ratio","MMM",0.0169209743663276,8
"NDVI","Ratio","AR",0.00452425836570117,8
"NDVI","Ratio","Velocity_OM",0.00291520694700425,8
"NDVI","Ratio","CF30a",0.0022541981322001,8
"NDVI","Ratio","TSA_DHW_stdev",0.00155275543546761,8
"NDVI","Ratio","Depth",0.000602585184896602,8
"NDVI","Ratio","Turbidity",0.000551574123320074,8
"NDVI","Ratio","DHW_freq_sup4",0.000546709755425891,8
"NDVI","Ratio","ROTC_ss",0.000241786665442188,8
"NDVI","Ratio","Health.score",0.000102204558980709,8
"NDVI","Ratio","DHW_freq_sup4_1year",6.84246299876047e-05,8
"NDVI","Ratio","MMM",0.0200749305709407,9
"NDVI","Ratio","DHW_collection",0.0185734740968593,9
"NDVI","Ratio","AR",0.00539472776862079,9
"NDVI","Ratio","Velocity_OM",0.00270378689196795,9
"NDVI","Ratio","CF30a",0.00223149569427161,9
"NDVI","Ratio","TSA_DHW_stdev",0.00199600601709478,9
"NDVI","Ratio","Turbidity",0.000977804242946659,9
"NDVI","Ratio","DHW_freq_sup4",0.000669966343291426,9
"NDVI","Ratio","Depth",0.000545737781334115,9
"NDVI","Ratio","ROTC_ss",0.000394888199542933,9
"NDVI","Ratio","Health.score",0.000220893390263698,9
"NDVI","Ratio","DHW_freq_sup4_1year",9.59543905013553e-05,9
"NDVI","Ratio","DHW_collection",0.0190812334092899,10
"NDVI","Ratio","MMM",0.0164526988957132,10
"NDVI","Ratio","AR",0.00525370768122987,10
"NDVI","Ratio","Velocity_OM",0.00314662142404802,10
"NDVI","Ratio","CF30a",0.0025797561067034,10
"NDVI","Ratio","TSA_DHW_stdev",0.00191335755539798,10
"NDVI","Ratio","Turbidity",0.000793381268522693,10
"NDVI","Ratio","Depth",0.00074601559850081,10
"NDVI","Ratio","DHW_freq_sup4",0.000402452944450572,10
"NDVI","Ratio","ROTC_ss",0.000244893229587131,10
"NDVI","Ratio","DHW_freq_sup4_1year",9.47380358331253e-05,10
"NDVI","Ratio","Health.score",-3.43705520512036e-05,10
"FvFm","Ratio","MMM",0.00560082806139386,1
"FvFm","Ratio","DHW_collection",0.00441134246046662,1
"FvFm","Ratio","AR",0.00286758502600587,1
"FvFm","Ratio","CF30a",0.00177873146251845,1
"FvFm","Ratio","Velocity_OM",0.00158540285249237,1
"FvFm","Ratio","Depth",0.00119443865623252,1
"FvFm","Ratio","DHW_freq_sup4",0.00114492044637863,1
"FvFm","Ratio","TSA_DHW_stdev",0.00113668637808867,1
"FvFm","Ratio","ROTC_ss",0.00107284642386582,1
"FvFm","Ratio","DHW_freq_sup4_1year",0.000991115989266025,1
"FvFm","Ratio","Turbidity",0.000597148503330373,1
"FvFm","Ratio","Health.score",0.000230959476641176,1
"FvFm","Ratio","MMM",0.00648680348179767,2
"FvFm","Ratio","DHW_collection",0.00500012281341505,2
"FvFm","Ratio","AR",0.00337850006725234,2
"FvFm","Ratio","CF30a",0.00217038717746285,2
"FvFm","Ratio","Velocity_OM",0.00168501397072138,2
"FvFm","Ratio","DHW_freq_sup4_1year",0.00145969386672885,2
"FvFm","Ratio","ROTC_ss",0.00142553884858977,2
"FvFm","Ratio","DHW_freq_sup4",0.00122970885418912,2
"FvFm","Ratio","Depth",0.000933484507669455,2
"FvFm","Ratio","Turbidity",0.000868769626019477,2
"FvFm","Ratio","TSA_DHW_stdev",0.000700995895216574,2
"FvFm","Ratio","Health.score",0.000188737937726305,2
"FvFm","Ratio","MMM",0.00602224168707954,3
"FvFm","Ratio","DHW_collection",0.00456773332973654,3
"FvFm","Ratio","AR",0.00332256398542572,3
"FvFm","Ratio","CF30a",0.00151663649979636,3
"FvFm","Ratio","Velocity_OM",0.00137698415254728,3
"FvFm","Ratio","DHW_freq_sup4",0.00100126449304117,3
"FvFm","Ratio","ROTC_ss",0.000975961859509158,3
"FvFm","Ratio","DHW_freq_sup4_1year",0.000952295114165614,3
"FvFm","Ratio","Turbidity",0.000923134086753319,3
"FvFm","Ratio","TSA_DHW_stdev",0.000783511195545296,3
"FvFm","Ratio","Depth",0.000777597219044748,3
"FvFm","Ratio","Health.score",0.000287602006624393,3
"FvFm","Ratio","MMM",0.00646768474211469,4
"FvFm","Ratio","DHW_collection",0.00417224347933804,4
"FvFm","Ratio","AR",0.00350805565507896,4
"FvFm","Ratio","DHW_freq_sup4",0.0018631039312057,4
"FvFm","Ratio","Velocity_OM",0.00156814527527242,4
"FvFm","Ratio","ROTC_ss",0.00142337189670454,4
"FvFm","Ratio","CF30a",0.00137078766092516,4
"FvFm","Ratio","TSA_DHW_stdev",0.00105984214130607,4
"FvFm","Ratio","DHW_freq_sup4_1year",0.000782473442964561,4
"FvFm","Ratio","Depth",0.000704270428021091,4
"FvFm","Ratio","Turbidity",0.000674505973468121,4
"FvFm","Ratio","Health.score",0.000370441198441592,4
"FvFm","Ratio","MMM",0.00559051109192198,5
"FvFm","Ratio","DHW_collection",0.00431939958263278,5
"FvFm","Ratio","AR",0.00310458034950748,5
"FvFm","Ratio","DHW_freq_sup4",0.00173429972828723,5
"FvFm","Ratio","Velocity_OM",0.00131974346968405,5
"FvFm","Ratio","CF30a",0.0013044138377655,5
"FvFm","Ratio","Depth",0.000984430274477756,5
"FvFm","Ratio","ROTC_ss",0.000937465426461711,5
"FvFm","Ratio","TSA_DHW_stdev",0.000915954083192631,5
"FvFm","Ratio","DHW_freq_sup4_1year",0.000790080050517948,5
"FvFm","Ratio","Turbidity",0.000627345972749112,5
"FvFm","Ratio","Health.score",0.00025719551351711,5
"FvFm","Ratio","MMM",0.00617271707650241,6
"FvFm","Ratio","DHW_collection",0.0049564054236641,6
"FvFm","Ratio","AR",0.00340961814386254,6
"FvFm","Ratio","CF30a",0.00204612402605809,6
"FvFm","Ratio","Velocity_OM",0.001610904811283,6
"FvFm","Ratio","DHW_freq_sup4_1year",0.00152301587061196,6
"FvFm","Ratio","DHW_freq_sup4",0.00113988941332998,6
"FvFm","Ratio","ROTC_ss",0.000964069708811812,6
"FvFm","Ratio","Depth",0.000908717690220248,6
"FvFm","Ratio","TSA_DHW_stdev",0.000903333477337434,6
"FvFm","Ratio","Turbidity",0.000808082051833405,6
"FvFm","Ratio","Health.score",0.000109907144187604,6
"FvFm","Ratio","MMM",0.00521288847910702,7
"FvFm","Ratio","DHW_collection",0.00463824456864612,7
"FvFm","Ratio","AR",0.00342629562545836,7
"FvFm","Ratio","DHW_freq_sup4",0.00154811786325565,7
"FvFm","Ratio","CF30a",0.00148123266238586,7
"FvFm","Ratio","Velocity_OM",0.00116220993999406,7
"FvFm","Ratio","ROTC_ss",0.0011461982752967,7
"FvFm","Ratio","Depth",0.00103199058402779,7
"FvFm","Ratio","DHW_freq_sup4_1year",0.000995050930534759,7
"FvFm","Ratio","TSA_DHW_stdev",0.000987939201170413,7
"FvFm","Ratio","Turbidity",0.000789307396041432,7
"FvFm","Ratio","Health.score",0.000167931759512713,7
"FvFm","Ratio","MMM",0.00589200380858452,8
"FvFm","Ratio","DHW_collection",0.00472487182077939,8
"FvFm","Ratio","AR",0.00306574863649598,8
"FvFm","Ratio","CF30a",0.00201482112892576,8
"FvFm","Ratio","DHW_freq_sup4",0.00153710105177472,8
"FvFm","Ratio","Velocity_OM",0.00139544513810497,8
"FvFm","Ratio","Depth",0.00126161632629481,8
"FvFm","Ratio","DHW_freq_sup4_1year",0.00116853472710926,8
"FvFm","Ratio","ROTC_ss",0.000960496345306141,8
"FvFm","Ratio","Turbidity",0.00093150390036818,8
"FvFm","Ratio","TSA_DHW_stdev",0.000858641285250818,8
"FvFm","Ratio","Health.score",0.000388494331139127,8
"FvFm","Ratio","MMM",0.00501593953928958,9
"FvFm","Ratio","DHW_collection",0.00422793989791862,9
"FvFm","Ratio","AR",0.00292388998773845,9
"FvFm","Ratio","CF30a",0.00210893021987417,9
"FvFm","Ratio","DHW_freq_sup4",0.00174089926226497,9
"FvFm","Ratio","Velocity_OM",0.0015413942052292,9
"FvFm","Ratio","TSA_DHW_stdev",0.00115170168858925,9
"FvFm","Ratio","ROTC_ss",0.00100416587373956,9
"FvFm","Ratio","Depth",0.000984613978488511,9
"FvFm","Ratio","DHW_freq_sup4_1year",0.000876769465756077,9
"FvFm","Ratio","Turbidity",0.000758730265694246,9
"FvFm","Ratio","Health.score",0.000240695621299691,9
"FvFm","Ratio","MMM",0.00589495750235498,10
"FvFm","Ratio","DHW_collection",0.00457755575163006,10
"FvFm","Ratio","AR",0.00314492540338728,10
"FvFm","Ratio","Velocity_OM",0.00169400677468877,10
"FvFm","Ratio","CF30a",0.00160951178776745,10
"FvFm","Ratio","DHW_freq_sup4",0.00107738809698256,10
"FvFm","Ratio","TSA_DHW_stdev",0.00101411532719987,10
"FvFm","Ratio","Depth",0.000964509857146552,10
"FvFm","Ratio","ROTC_ss",0.00093999358558248,10
"FvFm","Ratio","DHW_freq_sup4_1year",0.00080850420031842,10
"FvFm","Ratio","Turbidity",0.000740822148221145,10
"FvFm","Ratio","Health.score",0.000282405067259171,10
