"Trait_metric","Variable","mean","sd","n","lower","upper","q1","q3","median","IQ","min","max"
"FvFm_ED50","MMM",0.231827492084262,0.0240936139379277,10,0.214591958963974,0.249063025204549,0.212636254923581,0.25693975354532,0.226113752663483,0.0443034986217395,0.146181006990971,0.323395001477929
"FvFm_ED50","DHW_collection",0.18836512158597,0.0172314150101319,10,0.176038509858826,0.200691733313114,0.180101085190806,0.192607443232879,0.183830469663293,0.0125063580420725,0.161341548127697,0.211366980295987
"FvFm_ED50","TSA_DHW_stdev",0.0893123695418294,0.0180322791810112,10,0.076412854099302,0.102211884984357,0.077211813989703,0.100722822097174,0.0880433117721615,0.023511008107471,0.0419453018284965,0.13598933425838
"FvFm_ED50","DHW_freq_sup4",0.0889539125279538,0.0214517378819719,10,0.0736082636890127,0.104299561366895,0.0747019520474821,0.104813237534971,0.0809581304965762,0.0301112854874892,0.0295350238162483,0.149980165766205
"FvFm_ED50","CF30a",0.0556747434433871,0.0136375625895986,10,0.0459190188643106,0.0654304680224636,0.0479469689596921,0.0615894098980872,0.054453017779855,0.0136424409383951,0.0274833075520994,0.0820530713056799
"FvFm_ED50","AR",0.0475477286572405,0.007169436427331,10,0.0424190227970316,0.0526764345174494,0.0454715676671911,0.0509688654228885,0.0482745737785103,0.00549729775569741,0.037225621033645,0.0592148120564346
"FvFm_ED50","Depth",0.0461775667642998,0.0066484316504608,10,0.0414215652692687,0.0509335682593309,0.0420999012009221,0.0509009941729522,0.0454525963369645,0.00880109297203018,0.0288982617428768,0.0641026336309975
"FvFm_ED50","ROTC_ss",0.0445042756646528,0.00601865387051716,10,0.0401987900537312,0.0488097612755743,0.0401006588121601,0.0489918973336972,0.0445083019021373,0.00889123852153717,0.0267638010298543,0.062328755116003
"FvFm_ED50","Velocity_OM",0.043810579809136,0.0088007381870031,10,0.0375149109694235,0.0501062486488484,0.0363963963005,0.0502210901182795,0.044443697641193,0.0138246938177795,0.0156593555738307,0.0709581308449487
"FvFm_ED50","Turbidity",0.0363106048011895,0.00579555135573281,10,0.0321647171149584,0.0404564924874207,0.0322417549446752,0.0393668415931114,0.0365289755218608,0.00712508664843615,0.021554124972021,0.0500544715657656
"FvFm_ED50","DHW_freq_sup4_1year",0.0149383249215326,0.00250252541908447,10,0.0131481260806234,0.0167285237624418,0.0130401526644722,0.0170639292942513,0.0147048055714897,0.00402377662977908,0.00700448771980356,0.0230995942389199
"FvFm_ED50","Health.score",0.00359256767356075,0.00312086375309744,10,0.00136003623518897,0.00582509911193253,0.00244709987253269,0.00599198989791865,0.00339308649841273,0.00354489002538596,-0.00287023516554625,0.0113093249359976
"FvFm_Ratio","MMM",0.00583565754701462,0.000489169835681016,10,0.00548572652686768,0.00618558856716157,0.00559309033428995,0.00613509822914669,0.00589348065546975,0.000542007894856742,0.00478007849200484,0.00694811007143181
