"term","estimate","Trait_metric","k"
"(Intercept)",0.281544616876888,"NDVI_Ratio",1
"MMM",-0.0494618359690341,"NDVI_Ratio",1
"DHW_collection",-0.0424883569356184,"NDVI_Ratio",1
"AR",-0.0368057115469603,"NDVI_Ratio",1
"TSA_DHW_stdev",-0.0155828059393141,"NDVI_Ratio",1
"Velocity_OM",0.0141787308916046,"NDVI_Ratio",1
"ROTC_ss",0.0134495603748381,"NDVI_Ratio",1
"Depth",-0.0124549263489825,"NDVI_Ratio",1
"CF30a",0.00978622752632093,"NDVI_Ratio",1
"Turbidity",0.00374992256416137,"NDVI_Ratio",1
"Health.score",0.00321204881058694,"NDVI_Ratio",1
"DHW_freq_sup4",0.00237368079874456,"NDVI_Ratio",1
"DHW_freq_sup4_1year",0.00071811306054028,"NDVI_Ratio",1
"(Intercept)",0.286046231253391,"NDVI_Ratio",2
"MMM",-0.0515202771155016,"NDVI_Ratio",2
"DHW_collection",-0.0425468867380029,"NDVI_Ratio",2
"AR",-0.0366309141836097,"NDVI_Ratio",2
"ROTC_ss",0.0168073285027569,"NDVI_Ratio",2
"TSA_DHW_stdev",-0.0161711004326053,"NDVI_Ratio",2
"Velocity_OM",0.0156529569708879,"NDVI_Ratio",2
"Depth",-0.0153777621448212,"NDVI_Ratio",2
"CF30a",0.00974560498000143,"NDVI_Ratio",2
"Health.score",0.00395751872230915,"NDVI_Ratio",2
"DHW_freq_sup4_1year",0.00258185957518179,"NDVI_Ratio",2
"DHW_freq_sup4",0.00202591800157104,"NDVI_Ratio",2
"Turbidity",0.00200069733196278,"NDVI_Ratio",2
"(Intercept)",0.284088848879853,"NDVI_Ratio",3
"MMM",-0.0464001334950456,"NDVI_Ratio",3
"DHW_collection",-0.0375498860122076,"NDVI_Ratio",3
"AR",-0.0343501782842363,"NDVI_Ratio",3
"TSA_DHW_stdev",-0.0154898088759483,"NDVI_Ratio",3
"Depth",-0.0149130884777646,"NDVI_Ratio",3
"Velocity_OM",0.0105243509580164,"NDVI_Ratio",3
"ROTC_ss",0.00932095208744405,"NDVI_Ratio",3
"CF30a",0.00762399572739616,"NDVI_Ratio",3
"Health.score",0.00485098609861129,"NDVI_Ratio",3
"DHW_freq_sup4_1year",0.00290609480613317,"NDVI_Ratio",3
"Turbidity",0.00283365594120776,"NDVI_Ratio",3
"DHW_freq_sup4",0.00170578994908758,"NDVI_Ratio",3
"(Intercept)",0.287134047082951,"NDVI_Ratio",4
"MMM",-0.0480820670402115,"NDVI_Ratio",4
"DHW_collection",-0.0413614493044324,"NDVI_Ratio",4
"AR",-0.03682659990065,"NDVI_Ratio",4
"Depth",-0.0156924143983873,"NDVI_Ratio",4
"TSA_DHW_stdev",-0.0145457712909433,"NDVI_Ratio",4
"Velocity_OM",0.0135813472340897,"NDVI_Ratio",4
"ROTC_ss",0.0103629495842896,"NDVI_Ratio",4
"CF30a",0.00969550790946621,"NDVI_Ratio",4
"DHW_freq_sup4",0.00397673946373269,"NDVI_Ratio",4
"Turbidity",0.00384300220827143,"NDVI_Ratio",4
"Health.score",0.00191556993154141,"NDVI_Ratio",4
"DHW_freq_sup4_1year",0.000749576129802716,"NDVI_Ratio",4
"(Intercept)",0.283126706258166,"NDVI_Ratio",5
"MMM",-0.0515885766449665,"NDVI_Ratio",5
"DHW_collection",-0.0421910071864714,"NDVI_Ratio",5
"AR",-0.0372744038264901,"NDVI_Ratio",5
"Depth",-0.0179215120140367,"NDVI_Ratio",5
"Velocity_OM",0.0171493566890951,"NDVI_Ratio",5
"ROTC_ss",0.0165798487612977,"NDVI_Ratio",5
"TSA_DHW_stdev",-0.0151342997540595,"NDVI_Ratio",5
"CF30a",0.0082157247897218,"NDVI_Ratio",5
"DHW_freq_sup4_1year",0.00521353632977937,"NDVI_Ratio",5
"Health.score",0.00514303590368098,"NDVI_Ratio",5
"DHW_freq_sup4",0.00409389860568727,"NDVI_Ratio",5
"Turbidity",0.00193459137443235,"NDVI_Ratio",5
"(Intercept)",0.284350786293104,"NDVI_Ratio",6
"MMM",-0.0462192029375164,"NDVI_Ratio",6
"DHW_collection",-0.0387658465873186,"NDVI_Ratio",6
"AR",-0.0351126440311987,"NDVI_Ratio",6
"Depth",-0.0178705700816087,"NDVI_Ratio",6
"TSA_DHW_stdev",-0.0165455754611423,"NDVI_Ratio",6
"Velocity_OM",0.0122116019319729,"NDVI_Ratio",6
"CF30a",0.0109732437096232,"NDVI_Ratio",6
"ROTC_ss",0.00902981528036993,"NDVI_Ratio",6
"Health.score",0.00430849725068593,"NDVI_Ratio",6
"DHW_freq_sup4_1year",0.00370431073856343,"NDVI_Ratio",6
"DHW_freq_sup4",0.00321197741024237,"NDVI_Ratio",6
"Turbidity",0.00267200504409107,"NDVI_Ratio",6
"(Intercept)",0.284550632471952,"NDVI_Ratio",7
"MMM",-0.0520941477107352,"NDVI_Ratio",7
"DHW_collection",-0.0425271355726242,"NDVI_Ratio",7
"AR",-0.0389792201549268,"NDVI_Ratio",7
"TSA_DHW_stdev",-0.0200930219709286,"NDVI_Ratio",7
"Velocity_OM",0.0185691959105619,"NDVI_Ratio",7
"ROTC_ss",0.0150291205611443,"NDVI_Ratio",7
"Depth",-0.0148036525487018,"NDVI_Ratio",7
"CF30a",0.00742738196703521,"NDVI_Ratio",7
"Turbidity",0.00296065510818647,"NDVI_Ratio",7
"Health.score",0.00294387677074555,"NDVI_Ratio",7
"DHW_freq_sup4",0.00275356621482213,"NDVI_Ratio",7
"DHW_freq_sup4_1year",0.00246969573728151,"NDVI_Ratio",7
"(Intercept)",0.284718104910707,"NDVI_Ratio",8
"MMM",-0.0517212923147528,"NDVI_Ratio",8
"DHW_collection",-0.0454415542559459,"NDVI_Ratio",8
"AR",-0.0373516306781804,"NDVI_Ratio",8
"ROTC_ss",0.0180471689053028,"NDVI_Ratio",8
"Depth",-0.0156508311002851,"NDVI_Ratio",8
"Velocity_OM",0.0155037892532888,"NDVI_Ratio",8
"TSA_DHW_stdev",-0.0152682527398829,"NDVI_Ratio",8
"CF30a",0.00873056252908173,"NDVI_Ratio",8
"Turbidity",0.00559888345787648,"NDVI_Ratio",8
"Health.score",0.00472403361824891,"NDVI_Ratio",8
"DHW_freq_sup4",0.00455820300089239,"NDVI_Ratio",8
"DHW_freq_sup4_1year",0.000251112031652057,"NDVI_Ratio",8
"(Intercept)",0.286153747020723,"NDVI_Ratio",9
"MMM",-0.0508135472284554,"NDVI_Ratio",9
"DHW_collection",-0.041787411887498,"NDVI_Ratio",9
"AR",-0.0365800693408033,"NDVI_Ratio",9
"ROTC_ss",0.0165353734291353,"NDVI_Ratio",9
"Depth",-0.0144823669414586,"NDVI_Ratio",9
"TSA_DHW_stdev",-0.0143353865803642,"NDVI_Ratio",9
"Velocity_OM",0.0142497008537475,"NDVI_Ratio",9
"Health.score",0.0097380265372171,"NDVI_Ratio",9
"CF30a",0.00899971740653951,"NDVI_Ratio",9
"DHW_freq_sup4",0.00311488850688546,"NDVI_Ratio",9
"DHW_freq_sup4_1year",0.00206071165468057,"NDVI_Ratio",9
"Turbidity",0.00199788083122152,"NDVI_Ratio",9
"(Intercept)",0.285844943773757,"NDVI_Ratio",10
"MMM",-0.0499032789542109,"NDVI_Ratio",10
"DHW_collection",-0.0419092698617389,"NDVI_Ratio",10
"AR",-0.0343252447799839,"NDVI_Ratio",10
"Depth",-0.0147196715151578,"NDVI_Ratio",10
"TSA_DHW_stdev",-0.0145488702796658,"NDVI_Ratio",10
"ROTC_ss",0.0144667076143501,"NDVI_Ratio",10
"Velocity_OM",0.0136129913202425,"NDVI_Ratio",10
"CF30a",0.00621920004275203,"NDVI_Ratio",10
"Turbidity",0.00550163524919618,"NDVI_Ratio",10
"Health.score",0.00414172594694634,"NDVI_Ratio",10
"DHW_freq_sup4",0.00302538174422044,"NDVI_Ratio",10
"DHW_freq_sup4_1year",0.000975992367640617,"NDVI_Ratio",10
"(Intercept)",0.284347770269536,"NDVI_Ratio",11
"MMM",-0.0456447231644814,"NDVI_Ratio",11
"DHW_collection",-0.0396704826570079,"NDVI_Ratio",11
"AR",-0.0324829904932354,"NDVI_Ratio",11
"Depth",-0.0145083257224596,"NDVI_Ratio",11
"TSA_DHW_stdev",-0.0132053459378094,"NDVI_Ratio",11
"ROTC_ss",0.011770517125151,"NDVI_Ratio",11
"Velocity_OM",0.0104677562906827,"NDVI_Ratio",11
"CF30a",0.00796455823471633,"NDVI_Ratio",11
"Health.score",0.00421131509927519,"NDVI_Ratio",11
"Turbidity",0.00298616095280391,"NDVI_Ratio",11
"DHW_freq_sup4",0.00188103126836973,"NDVI_Ratio",11
"DHW_freq_sup4_1year",0.00133840937279823,"NDVI_Ratio",11
"(Intercept)",0.285717407504101,"NDVI_Ratio",12
"MMM",-0.0442111153198444,"NDVI_Ratio",12
"DHW_collection",-0.0393537970955079,"NDVI_Ratio",12
"AR",-0.0340425460244253,"NDVI_Ratio",12
"Depth",-0.014363193194021,"NDVI_Ratio",12
"TSA_DHW_stdev",-0.0119846809928322,"NDVI_Ratio",12
"Velocity_OM",0.010736797251011,"NDVI_Ratio",12
"CF30a",0.0106998554753578,"NDVI_Ratio",12
"ROTC_ss",0.00936893059776316,"NDVI_Ratio",12
"DHW_freq_sup4",0.0054968315778148,"NDVI_Ratio",12
"Turbidity",0.00440487545073364,"NDVI_Ratio",12
"Health.score",0.00302383298961458,"NDVI_Ratio",12
"DHW_freq_sup4_1year",-6.00343809038897e-05,"NDVI_Ratio",12
"(Intercept)",0.28549426589117,"NDVI_Ratio",13
"MMM",-0.0512362783129778,"NDVI_Ratio",13
"DHW_collection",-0.0429518370579513,"NDVI_Ratio",13
"AR",-0.0370190582656995,"NDVI_Ratio",13
"TSA_DHW_stdev",-0.0193609461899664,"NDVI_Ratio",13
"Velocity_OM",0.0186442542368056,"NDVI_Ratio",13
"Depth",-0.0155972153373695,"NDVI_Ratio",13
"ROTC_ss",0.0155264369362221,"NDVI_Ratio",13
"CF30a",0.00863106937023475,"NDVI_Ratio",13
"DHW_freq_sup4_1year",0.00499580029679631,"NDVI_Ratio",13
"DHW_freq_sup4",0.00411475213096688,"NDVI_Ratio",13
"Health.score",0.00322249752909176,"NDVI_Ratio",13
"Turbidity",0.00258711275640428,"NDVI_Ratio",13
"(Intercept)",0.280099367740567,"NDVI_Ratio",14
"MMM",-0.0492759432670992,"NDVI_Ratio",14
"DHW_collection",-0.040358515984357,"NDVI_Ratio",14
"AR",-0.0369944861210381,"NDVI_Ratio",14
"Velocity_OM",0.0179169941187553,"NDVI_Ratio",14
"TSA_DHW_stdev",-0.0167873875923203,"NDVI_Ratio",14
"ROTC_ss",0.0150789470215575,"NDVI_Ratio",14
"Depth",-0.0125858956571113,"NDVI_Ratio",14
"CF30a",0.0100471875707734,"NDVI_Ratio",14
"DHW_freq_sup4_1year",0.00388886428269399,"NDVI_Ratio",14
"DHW_freq_sup4",0.00185213089212363,"NDVI_Ratio",14
"Turbidity",0.00175499671199211,"NDVI_Ratio",14
"Health.score",0.0015889380432991,"NDVI_Ratio",14
"(Intercept)",0.288601938076032,"NDVI_Ratio",15
"MMM",-0.0528896074197837,"NDVI_Ratio",15
"DHW_collection",-0.0439047952866925,"NDVI_Ratio",15
"AR",-0.0364701702154426,"NDVI_Ratio",15
"Velocity_OM",0.018075924457926,"NDVI_Ratio",15
"ROTC_ss",0.0167045602520169,"NDVI_Ratio",15
"TSA_DHW_stdev",-0.0155942708075875,"NDVI_Ratio",15
"Depth",-0.0113097168489024,"NDVI_Ratio",15
"CF30a",0.0072483122604293,"NDVI_Ratio",15
"Health.score",0.00504538835595076,"NDVI_Ratio",15
"Turbidity",0.00321414396093363,"NDVI_Ratio",15
"DHW_freq_sup4",0.00271775576472585,"NDVI_Ratio",15
"DHW_freq_sup4_1year",0.00229720922055427,"NDVI_Ratio",15
"(Intercept)",0.282567168530464,"NDVI_Ratio",16
"MMM",-0.0595080255672803,"NDVI_Ratio",16
"DHW_collection",-0.0471684810826606,"NDVI_Ratio",16
"AR",-0.0449254193399341,"NDVI_Ratio",16
"Velocity_OM",0.0219311223925635,"NDVI_Ratio",16
"ROTC_ss",0.0219199255375356,"NDVI_Ratio",16
"TSA_DHW_stdev",-0.0207637112899012,"NDVI_Ratio",16
"Depth",-0.0145724895160972,"NDVI_Ratio",16
"DHW_freq_sup4_1year",0.00763477770695333,"NDVI_Ratio",16
"Health.score",0.00620038567526556,"NDVI_Ratio",16
"CF30a",0.00603052328032662,"NDVI_Ratio",16
"DHW_freq_sup4",0.00529102697180003,"NDVI_Ratio",16
"Turbidity",0.00221449413977708,"NDVI_Ratio",16
"(Intercept)",0.282300809211814,"NDVI_Ratio",17
"MMM",-0.0521185721372415,"NDVI_Ratio",17
"DHW_collection",-0.0409803476671194,"NDVI_Ratio",17
"AR",-0.0371498515534081,"NDVI_Ratio",17
"TSA_DHW_stdev",-0.0186752540780258,"NDVI_Ratio",17
"Velocity_OM",0.0182305719715443,"NDVI_Ratio",17
"ROTC_ss",0.0166370082359185,"NDVI_Ratio",17
"Depth",-0.0144700613037688,"NDVI_Ratio",17
"Health.score",0.0079813968289893,"NDVI_Ratio",17
"CF30a",0.00656253589927563,"NDVI_Ratio",17
"Turbidity",0.00479913851296357,"NDVI_Ratio",17
"DHW_freq_sup4_1year",0.00439076015986628,"NDVI_Ratio",17
"DHW_freq_sup4",0.000470586712317568,"NDVI_Ratio",17
"(Intercept)",0.285682908311031,"NDVI_Ratio",18
"MMM",-0.0494114434561397,"NDVI_Ratio",18
"DHW_collection",-0.0408396368674941,"NDVI_Ratio",18
"AR",-0.0365644774068418,"NDVI_Ratio",18
"Depth",-0.0161079992954507,"NDVI_Ratio",18
"Velocity_OM",0.0149298436783215,"NDVI_Ratio",18
