"MMM","lambda","metric","Coeff","Trait_metric"
-2.37144440081326e-05,1000,"AR",-1.92348575908994e-05,"NDVI_Ratio"
-2.98507493714259e-05,794.328234724281,"AR",-2.42057644430931e-05,"NDVI_Ratio"
-3.75735780635308e-05,630.957344480193,"AR",-3.04686916458542e-05,"NDVI_Ratio"
-4.72923689187967e-05,501.187233627272,"AR",-3.83505832419426e-05,"NDVI_Ratio"
-5.95217819725847e-05,398.107170553497,"AR",-4.82690746429081e-05,"NDVI_Ratio"
-7.49084848950599e-05,316.227766016838,"AR",-6.07490284761887e-05,"NDVI_Ratio"
-9.42646052716329e-05,251.188643150958,"AR",-7.6449770688991e-05,"NDVI_Ratio"
-0.000118609422587976,199.526231496888,"AR",-9.61990707196468e-05,"NDVI_Ratio"
-0.000149221190327466,158.489319246111,"AR",-0.00012103543576645,"NDVI_Ratio"
-0.00018770132957328,125.892541179417,"AR",-0.000152260593226284,"NDVI_Ratio"
-0.000236053599966798,100,"AR",-0.00019150436212923,"NDVI_Ratio"
-0.000296782170793389,79.4328234724281,"AR",-0.000240592461040499,"NDVI_Ratio"
-0.000373006882049455,63.0957344480193,"AR",-0.000302369347538419,"NDVI_Ratio"
-0.000468609710047898,50.1187233627272,"AR",-0.000379841880144679,"NDVI_Ratio"
-0.000588402519006661,39.8107170553497,"AR",-0.000476901927283388,"NDVI_Ratio"
-0.000738326714819857,31.6227766016838,"AR",-0.000598351605830465,"NDVI_Ratio"
-0.000925681393921451,25.1188643150958,"AR",-0.000750085070994962,"NDVI_Ratio"
-0.00115937648748342,19.9526231496888,"AR",-0.000939288789374374,"NDVI_Ratio"
-0.00145020069547022,15.8489319246111,"AR",-0.00117465106468412,"NDVI_Ratio"
-0.00181108447066956,12.5892541179417,"AR",-0.00146656338194007,"NDVI_Ratio"
-0.00225732461937312,10,"AR",-0.00182728436499341,"NDVI_Ratio"
-0.00280671884627661,7.94328234724281,"AR",-0.0022710214498974,"NDVI_Ratio"
-0.00347953660681731,6.30957344480193,"AR",-0.00281386642035559,"NDVI_Ratio"
-0.00429823015440872,5.01187233627272,"AR",-0.00347350141549628,"NDVI_Ratio"
-0.00528677436851106,3.98107170553497,"AR",-0.00426855746391619,"NDVI_Ratio"
-0.00646952303027896,3.16227766016838,"AR",-0.00521763458168977,"NDVI_Ratio"
-0.0078695169714248,2.51188643150958,"AR",-0.00633769441999713,"NDVI_Ratio"
-0.00950625485983918,1.99526231496888,"AR",-0.00764211185352522,"NDVI_Ratio"
-0.0113930975478453,1.58489319246111,"AR",-0.00913835452560792,"NDVI_Ratio"
-0.0135346544709238,1.25892541179417,"AR",-0.0108256783572986,"NDVI_Ratio"
-0.0159246673767853,1,"AR",-0.0126933090370391,"NDVI_Ratio"
-0.0185449625318774,0.794328234724281,"AR",-0.0147196531873937,"NDVI_Ratio"
-0.0213659051925632,0.630957344480193,"AR",-0.016872975157168,"NDVI_Ratio"
-0.0243477728093099,0.501187233627272,"AR",-0.0191148554287071,"NDVI_Ratio"
-0.0274456544342553,0.398107170553497,"AR",-0.0214008494570448,"NDVI_Ratio"
-0.0306113179933982,0.316227766016838,"AR",-0.0236880338255507,"NDVI_Ratio"
-0.0337975491191557,0.251188643150958,"AR",-0.0259371657195602,"NDVI_Ratio"
-0.0369601196068375,0.199526231496888,"AR",-0.0281161963260242,"NDVI_Ratio"
-0.0400551054712394,0.158489319246111,"AR",-0.0302089155500137,"NDVI_Ratio"
-0.0430559380273285,0.125892541179417,"AR",-0.0321870845659481,"NDVI_Ratio"
-0.0459314920670653,0.1,"AR",-0.0340461019058873,"NDVI_Ratio"
-0.0486618348544569,0.0794328234724281,"AR",-0.0357793152298021,"NDVI_Ratio"
